metric,model,user_group,count,mean,std,f_statistic,p_value
MRR@10,WMF,"Low (Novelty), High (Gini)",242,0.18104584809130264,0.31599127802622645,4.5439974790530515,0.0036045850324821207
MRR@10,WMF,"Low (Novelty), Low (Gini)",210,0.13804232804232802,0.28783461350032535,4.5439974790530515,0.0036045850324821207
Novelty,EASEᴿ,"High (Novelty), High (Gini)",255,9.724433902505067,0.526811917103879,22.208775029476627,6.893911720716191e-14
Novelty,EASEᴿ,"High (Novelty), Low (Gini)",215,9.764224167945244,0.5664059917004686,22.208775029476627,6.893911720716191e-14
Novelty,EASEᴿ,"Low (Novelty), High (Gini)",242,9.480666577775267,0.3915449381170656,22.208775029476627,6.893911720716191e-14
Novelty,EASEᴿ,"Low (Novelty), Low (Gini)",210,9.512931584801079,0.32233312591452495,22.208775029476627,6.893911720716191e-14
Novelty,NeuMF,"High (Novelty), High (Gini)",255,9.614522540751832,0.7808722734738497,90.25776699027065,3.454547479584764e-51
Novelty,NeuMF,"High (Novelty), Low (Gini)",215,9.785397615549943,0.8467414622737675,90.25776699027065,3.454547479584764e-51
Novelty,NeuMF,"Low (Novelty), High (Gini)",242,9.025088829046085,0.24823397960324944,90.25776699027065,3.454547479584764e-51
Novelty,NeuMF,"Low (Novelty), Low (Gini)",210,9.071296503100989,0.2707832013371617,90.25776699027065,3.454547479584764e-51
Novelty,VAECF,"High (Novelty), High (Gini)",255,10.177333673488333,0.9396127931299826,111.27338538411779,1.8665251518633353e-61
Novelty,VAECF,"High (Novelty), Low (Gini)",215,10.18726057509196,0.9814847403382119,111.27338538411779,1.8665251518633353e-61
Novelty,VAECF,"Low (Novelty), High (Gini)",242,9.304284650308999,0.2984199377319904,111.27338538411779,1.8665251518633353e-61
Novelty,VAECF,"Low (Novelty), Low (Gini)",210,9.30853713124237,0.4032218823096783,111.27338538411779,1.8665251518633353e-61
Novelty,WMF,"High (Novelty), High (Gini)",255,10.551161138653974,0.5015683617430413,79.11759152733238,1.5872821927348435e-45
Novelty,WMF,"High (Novelty), Low (Gini)",215,10.604653909118182,0.5311299428944247,79.11759152733238,1.5872821927348435e-45
Novelty,WMF,"Low (Novelty), High (Gini)",242,10.093869450805167,0.3994566819995081,79.11759152733238,1.5872821927348435e-45
Novelty,WMF,"Low (Novelty), Low (Gini)",210,10.124671433482733,0.4015940313950672,79.11759152733238,1.5872821927348435e-45
CatalogCoverage,EASEᴿ,"High (Novelty), High (Gini)",255,0.7728291316526611,0.05592450476035976,1.57220743024477,0.19454418782684593
CatalogCoverage,EASEᴿ,"High (Novelty), Low (Gini)",215,0.7669988925802879,0.060377898712803,1.57220743024477,0.19454418782684593
CatalogCoverage,EASEᴿ,"Low (Novelty), High (Gini)",242,0.7767611176702086,0.052343688846542176,1.57220743024477,0.19454418782684593
CatalogCoverage,EASEᴿ,"Low (Novelty), Low (Gini)",210,0.767233560090703,0.05930081154761724,1.57220743024477,0.19454418782684593
CatalogCoverage,NeuMF,"High (Novelty), High (Gini)",255,0.7753501400560224,0.05654690076983824,22.097237013810787,8.039573159975745e-14
CatalogCoverage,NeuMF,"High (Novelty), Low (Gini)",215,0.7683277962347731,0.05558516756789544,22.097237013810787,8.039573159975745e-14
CatalogCoverage,NeuMF,"Low (Novelty), High (Gini)",242,0.802538370720189,0.04289361062032514,22.097237013810787,8.039573159975745e-14
CatalogCoverage,NeuMF,"Low (Novelty), Low (Gini)",210,0.7929705215419501,0.04665506497202245,22.097237013810787,8.039573159975745e-14
CatalogCoverage,VAECF,"High (Novelty), High (Gini)",255,0.7400560224089636,0.08135158451430026,4.481134387150217,0.003931881814675035
CatalogCoverage,VAECF,"High (Novelty), Low (Gini)",215,0.7234772978959025,0.08239760327310665,4.481134387150217,0.003931881814675035
CatalogCoverage,VAECF,"Low (Novelty), High (Gini)",242,0.7480322707595435,0.07543039766521681,4.481134387150217,0.003931881814675035
CatalogCoverage,VAECF,"Low (Novelty), Low (Gini)",210,0.7458049886621315,0.07060705047031914,4.481134387150217,0.003931881814675035
CatalogCoverage,WMF,"High (Novelty), High (Gini)",255,0.7606909430438843,0.05755726449618164,10.905667235300848,4.830882441760796e-07
